집계년도,시군명,관광지구분명,관광지명,지정일자,조성계획최초승인일자,지정면적(㎡),조성계획면적(㎡),운영주체명,관광지소재지우편번호,관광지소재지지번주소,관광지소재지도로명주소,경도,위도
2016,가평군,관광지,산장,19770331,19780210,122740,122740,시설관리공단,12446,경기도 가평군 상면 덕현리 21번지 일원,경기도 가평군 상면 덕현산장길 71,127.4106146,37.75412776
2016,가평군 ,관광지,대성,19690121,19710715,255400,255400,가평군,12457,경기도 가평군 청평면 대성리 392-5 일원,경기도 가평군 청평면 대성강변길 44,127.3794886,37.68010977
2016,고양시,관광특구 ,고양,20150806,,3940000,,고양시,10392,경기도 고양시 일산서구 대화동 2606-1번지 일원,경기도 고양시 일산서구 한류월드로 282,126.7553802,37.66340506
2016,남양주시,관광지,수동,19831011,19831223,225000,225000,남양주몽골장학회,12024,경기도 남양주시 수동면 내방리 254번지 일원,경기도 남양주시 수동면 비룡로 1635,127.2749936,37.75779834
2016,동두천시,관광지,소요산,19770331,19780408,2472000,241234,소요산관광지원센터,11307,경기도 동두천시 상봉암동 산1-1번지 일원,경기도 동두천시 평화로2910번길 406-33,127.081949,37.9444091
2016,동두천시,관광특구 ,동두천,19970118,,400000,,,,경기도 동두천시 보산동 소요동 일원,,127.0532303,37.90775008
2016,수원시,관광특구 ,수원화성,20160116,,1830000,,수원시,,경기도 수원시 장안구 연무동 190 일원,,127.0183862,37.28788599
2016,양주시,관광지,장흥,19861227,19870526,390000,390000,시설관리공단,11519,경기도 양주시 장흥면 석현리 376-1번지,경기도 양주시 장흥면 권율로 234-25,126.9526942,37.73484809
2016,양평군,관광지,용문산,19710520,19780704,369910,369910,양평군,12510,경기도 양평군 용문면 신점리 520-18번지 일원,경기도 양평군 용문면 용문산로 640,127.5835542,37.5454885
2016,여주시,관광지,신륵사,19770331,19780211,947268,947268,여주군,12636,경기도 여주시 천송동 296-1번지 일원,경기도 여주시 신륵사길 13,127.6557799,37.2994384
2016,연천군,관광지,한탄강,19770331,19831217,312000,312000,시설관리공단,11027,경기도 연천군 전곡읍 전곡리 696-3번지 일원,경기도 연천군 전곡읍 선사로 76,127.0586757,38.00873008
2016,파주시,관광지,임진각,19910128,19910314,95410,95410,시설관리공단,10808,경기도 파주시 문산읍 사목리 494-1번지,경기도 파주시 문산읍 임진각로 177,126.7400182,37.88926659
2016,파주시,관광지,공릉,19770331,19850323,621155,222490,㈜성원레저,10940,경기도 파주시 조리읍 장곡리 420-6번지 일원,경기도 파주시 조리읍 장곡로 218,126.8359822,37.75029111
2016,평택시,관광단지,평택호,20091007,,2743000,,평택시   ,,경기도 평택시 현덕면 평택호,,126.9215629,36.967339
2016,평택시,관광특구,송탄,19970530,,491000,,평택시    ,,"경기도 평택시 서정동 신장1~2동, 지산동, 송북동",,127.0547111,37.06776861
2016,평택시 ,관광지,내리,20030309,20021104,90121,90121,평택시,17973,경기도 평택시 팽성읍 내리 산3-3일원,,127.0300712,36.97432652
2016,포천시,관광지,백운계곡,19870904,19871124,148000,148000,시설관리공단,11110,경기도 포천시 이동면 도평리 백운계곡 일원,,127.3919558,38.07546727
2016,포천시,관광지,산정호수,19770331,19780211,644500,644500,시설관리공단,11103,경기도 포천시 영북면 산정리 191 일원,,127.3303349,38.04201999
