시군명,사업장명,영업상태명,전통사찰명,창립연대정보,인허가일자,소재지우편번호,소재지지번주소,소재지도로명주소,경도,위도
가평군,현등사,운영중,현등사,514,19880728,12432,경기도 가평군 조종면 하판리,,,
고양시,중흥사,운영중,중흥사,고려시대,20140103,10582,경기도 고양시 덕양구 북한동 259,경기도 고양시 덕양구 대서문길 393,126.97654894,37.645966741
고양시,국녕사,운영중,국녕사,1916,20030125,10582,경기도 고양시 덕양구 북한동 416-8,경기도 고양시 덕양구 대서문길 268,126.96236218,37.646854682
고양시,상운사,운영중,상운사,1713,19670703,10582,경기도 고양시 덕양구 북한동 370,경기도 고양시 덕양구 대서문길 197-22,126.9690205,37.656380033
고양시,흥국사,운영중,흥국사,661,19660412,,경기도 고양시 덕양구 지축동,경기도 고양시 덕양구 흥국사길 82 (지축동),,
고양시,무량사,운영중,무량사,1904,19880708,10582,경기도 고양시 덕양구 북한동 464-1,경기도 고양시 덕양구 대서문길 184 (북한동),126.95910616,37.653691881
고양시,봉성암,운영중,봉성암,1713,20160108,10582,경기도 고양시 덕양구 북한동 18,경기도 고양시 덕양구 대서문길 443,126.98119472,37.645553241
고양시,태고사,운영중,태고사,1341,19770306,10582,경기도 고양시 덕양구 북한동 15,경기도 고양시 덕양구 대서문길 406,126.97821474,37.645471568
고양시,노적사,운영중,노적사,1942,20010117,10582,경기도 고양시 덕양구 북한동 331,경기도 고양시 덕양구 대서문길 311-35,126.97294431,37.649470657
고양시,아미타사,운영중,아미타사,646,20050125,10582,경기도 고양시 덕양구 북한동,경기도 고양시 덕양구 대서문길 145-63 (북한동),,
과천시,보광사,운영중,보광사,1929,19880728,,경기도 과천시 갈현동 산126-21,경기도 과천시 교육원로 41 (갈현동),,
과천시,연주암,운영중,연주암,677,19880728,13800,경기도 과천시 중앙동 85-1,경기도 과천시 자하동길 63,126.96555799,37.441692139
광주시,개원사,운영중,개원사,신라시대,19961023,12700,경기도 광주시 남한산성면 산성리 195-5,경기도 광주시 중부면 남한산성로 731-73,127.18656562,37.4748292
광주시,장경사,운영중,장경사,1628,19880728,12700,경기도 광주시 남한산성면 산성리 22 - 1,경기도 광주시 남한산성면 남한산성로 676,127.19775864,37.47524375
광주시,백련암,운영중,백련암,1325,19881025,12819,경기도 광주시 도척면 추곡리 산 25 - 1,경기도 광주시 도척면 도척로 982-118,,
광주시,극락사,운영중,극락사,신라시대,19881025,12797,경기도 광주시 오포읍 양벌리 825,경기도 광주시 오포읍 양촌길 268-1,127.27205957,37.37225746
광주시,명성암,운영중,명성암,고려시대,19880728,12707,경기도 광주시 남종면 귀여리,경기도 광주시 남종면 산수로 1876-34,,
광주시,망월사,운영중,망월사,919,19881025,12700,경기도 광주시 남한산성면 산성리,경기도 광주시 중부면 남한산성로 680,,
군포시,수리사,운영중,수리사,신라진흥왕,19881025,,경기도 군포시 속달동,경기도 군포시 속달로 347-181 (속달동),,
김포시,광은사,운영중,광은사,1922,19881025,,경기도 김포시 대곶면 약암리 산108-3,경기도 김포시 대곶면 약암로 872-80,,
김포시,문수사,운영중,문수사,876,19880728,10000,경기도 김포시 월곶면 성동리 산 37,,,
김포시,용화사,운영중,용화사,1405,19880728,,경기도 김포시 운양동,경기도 김포시 금포로 1487-5 (운양동),,
김포시,금정사,운영중,금정사,1627,19880728,,경기도 김포시 풍무동 산669,경기도 김포시 승가로 125 (풍무동),,
남양주시,묘적사,운영중,묘적사,661,19621226,12202,경기도 남양주시 와부읍 월문리 222,경기도 남양주시 와부읍 수레로661번길 174,127.26172544,37.6233417
남양주시,불암사,운영중,불암사,824,19621226,,경기도 남양주시 별내동,경기도 남양주시 별내면 불암산로 190,,
